frame,t,x,y,is_measurement
0,0.0,,,0
1,0.03333333333333333,,,0
2,0.06666666666666667,,,0
3,0.1,,,0
4,0.13333333333333333,,,0
5,0.16666666666666666,,,0
6,0.2,,,0
7,0.23333333333333334,,,0
8,0.26666666666666666,,,0
9,0.3,,,0
10,0.3333333333333333,,,0
11,0.36666666666666664,,,0
12,0.4,,,0
13,0.43333333333333335,,,0
14,0.4666666666666667,,,0
15,0.5,,,0
16,0.5333333333333333,,,0
17,0.5666666666666667,,,0
18,0.6,,,0
19,0.6333333333333333,,,0
20,0.6666666666666666,,,0
21,0.7,,,0
22,0.7333333333333333,551.49365234375,1067.573486328125,1
23,0.7666666666666667,552.1351318359375,1066.3475341796875,1
24,0.8,552.0114731386483,1066.5838623046875,0
25,0.8333333333333334,552.012025186404,1066.582807268415,0
26,0.8666666666666667,552.0125772341597,1066.5817522321427,0
27,0.9,554.017822265625,1064.59814453125,1
28,0.9333333333333333,554.521728515625,1063.65869140625,1
29,0.9666666666666667,555.6573486328125,1063.285888671875,1
30,1.0,556.6270751953125,1062.421630859375,1
31,1.0333333333333334,557.04638671875,1061.93408203125,1
32,1.0666666666666667,556.070861459181,1062.788766081655,0
33,1.1,556.1584904115934,1062.7089836284244,0
34,1.1333333333333333,556.246119364006,1062.6292011751939,0
35,1.1666666666666667,556.3337483164185,1062.5494187219633,0
36,1.2,556.421377268831,1062.4696362687328,0
37,1.2333333333333334,556.5090062212435,1062.3898538155022,0
38,1.2666666666666666,556.596635173656,1062.3100713622716,0
39,1.3,556.6842641260685,1062.230288909041,0
40,1.3333333333333333,556.771893078481,1062.1505064558105,0
41,1.3666666666666667,556.8595220308935,1062.07072400258,0
42,1.4,556.947150983306,1061.9909415493494,0
43,1.4333333333333333,557.0347799357185,1061.9111590961188,0
44,1.4666666666666666,557.122408888131,1061.8313766428882,0
45,1.5,557.2100378405435,1061.7515941896577,0
46,1.5333333333333334,557.297666792956,1061.6718117364271,0
47,1.5666666666666667,557.3852957453685,1061.5920292831966,0
48,1.6,557.472924697781,1061.512246829966,0
49,1.6333333333333333,557.5605536501935,1061.4324643767354,0
50,1.6666666666666667,557.648182602606,1061.3526819235049,0
51,1.7,565.1275634765625,1050.20068359375,1
52,1.7333333333333334,565.34375,1049.97021484375,1
53,1.7666666666666666,565.295592945131,1050.074750464378,0
54,1.8,565.5960529268216,1049.676894566704,0
55,1.8333333333333333,565.8965129085121,1049.2790386690301,0
56,1.8666666666666667,566.1969728902027,1048.8811827713562,0
57,1.9,566.4974328718932,1048.4833268736822,0
58,1.9333333333333333,566.7978928535838,1048.0854709760083,0
59,1.9666666666666666,567.0983528352743,1047.6876150783344,0
60,2.0,567.3988128169649,1047.2897591806604,0
61,2.033333333333333,567.6992727986554,1046.8919032829865,0
62,2.066666666666667,567.999732780346,1046.4940473853126,0
63,2.1,568.3001927620365,1046.0961914876386,0
64,2.1333333333333333,568.6006527437271,1045.6983355899647,0
65,2.1666666666666665,568.9011127254176,1045.3004796922908,0
66,2.2,569.2015727071082,1044.9026237946168,0
