epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,521.991,1.9581,1.65727,0.86428,0.95765,0.76471,0.8299,0.31786,1.97616,1.03133,0.82433,0.0011684,0.0011684,0.0011684
44,528.368,1.94807,1.94354,0.83918,0.90631,0.76471,0.82573,0.40842,1.71054,1.0174,0.82023,0.0011486,0.0011486,0.0011486
45,534.652,2.05465,1.91994,0.84117,0.96076,0.76471,0.81576,0.39116,1.77422,1.0375,0.82208,0.0011288,0.0011288,0.0011288
46,540.938,2.23581,1.97988,0.8701,0.9883,0.79412,0.83326,0.39316,1.90078,0.96253,0.83172,0.001109,0.001109,0.001109
47,547.752,2.144,1.70075,0.86559,0.95485,0.79412,0.84188,0.41513,1.93836,0.91692,0.83072,0.0010892,0.0010892,0.0010892
48,554.079,2.00206,1.72568,0.8633,0.895,0.79412,0.81011,0.3768,2.03421,0.91899,0.82637,0.0010694,0.0010694,0.0010694
49,560.295,1.95501,1.66217,0.88592,0.99789,0.79412,0.82865,0.40396,2.07497,0.89529,0.82729,0.0010496,0.0010496,0.0010496
50,566.671,1.95156,1.62565,0.84244,0.96276,0.76053,0.82415,0.41771,2.04,0.89907,0.82744,0.0010298,0.0010298,0.0010298
51,572.745,2.09169,1.82211,0.86044,0.92584,0.73442,0.78565,0.38381,2.17336,0.96013,0.82798,0.00101,0.00101,0.00101
52,578.862,1.85112,1.39401,0.8596,0.92233,0.6987,0.7913,0.40614,1.96944,0.95377,0.81804,0.0009902,0.0009902,0.0009902
53,585.405,1.88092,1.53054,0.83297,0.85231,0.76471,0.80406,0.42439,1.97316,0.92426,0.8214,0.0009704,0.0009704,0.0009704
54,591.936,1.95946,1.53222,0.8648,0.97776,0.79412,0.85354,0.40263,2.1349,0.92663,0.8255,0.0009506,0.0009506,0.0009506
55,599.434,1.86825,1.35975,0.84442,0.99422,0.79412,0.87838,0.42248,2.07466,0.9071,0.8199,0.0009308,0.0009308,0.0009308
56,613.235,1.83488,1.36335,0.83728,0.91257,0.79412,0.85563,0.43426,2.03537,0.91482,0.8147,0.000911,0.000911,0.000911
57,619.582,2.03828,1.51021,0.88468,0.96248,0.76471,0.8832,0.44802,2.0221,0.90089,0.81576,0.0008912,0.0008912,0.0008912
58,625.712,1.77551,1.38244,0.82849,0.93286,0.81746,0.90697,0.41002,2.0826,0.86619,0.82106,0.0008714,0.0008714,0.0008714
59,631.697,1.82127,1.25163,0.8472,0.96419,0.79204,0.90288,0.43586,1.92344,0.86396,0.81413,0.0008516,0.0008516,0.0008516
60,638.137,2.06888,1.49347,0.8781,0.88765,0.82353,0.87238,0.44727,1.72229,0.85475,0.81512,0.0008318,0.0008318,0.0008318
61,644.349,1.90437,1.50374,0.87238,0.91372,0.79412,0.90298,0.42537,1.74314,0.83086,0.8114,0.000812,0.000812,0.000812
62,650.723,1.95496,1.3594,0.84023,0.96116,0.72813,0.82324,0.38918,1.82058,0.82283,0.81935,0.0007922,0.0007922,0.0007922
