frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,1005.151611328125,439.6605224609375,998.6262817382812,429.6354675292969,1008.78076171875,432.93707275390625,972.8794555664062,434.23065185546875,1021.3007202148438,440.053955078125,932.8840942382812,488.8758544921875,1060.195556640625,499.8188781738281,907.1307983398438,566.48779296875,1100.611328125,577.9279174804688,923.3987426757812,638.3570556640625,1068.53125,626.9094848632812,970.9249267578125,657.5789794921875,1050.29150390625,657.165283203125,968.982421875,789.0643310546875,1019.5811157226562,779.5122680664062,984.4974975585938,927.2305297851562,989.4136962890625,874.205810546875
1,1000.252685546875,446.8753662109375,994.770263671875,436.3887023925781,1004.5964965820312,440.35986328125,970.9766235351562,441.82928466796875,1018.6259155273438,447.6763916015625,930.3224487304688,500.16986083984375,1054.97900390625,504.19049072265625,900.7276000976562,581.6556396484375,1099.2315673828125,578.421875,932.7299194335938,637.1190795898438,1068.518310546875,632.5446166992188,968.9046020507812,669.9796142578125,1045.1116943359375,663.3929443359375,969.3792114257812,799.7840576171875,1006.9049072265625,765.5092163085938,996.091552734375,939.4475708007812,1003.4363403320312,835.60009765625
2,1003.4205322265625,450.96533203125,997.7631225585938,440.2611083984375,1005.0745849609375,442.6800537109375,969.5692138671875,447.1416015625,1017.1961059570312,450.4621887207031,924.9570922851562,505.82598876953125,1056.1815185546875,500.4806823730469,893.6486206054688,588.9412841796875,1102.401123046875,570.9669189453125,937.4942016601562,623.1135864257812,1067.3140869140625,621.9434814453125,962.7445068359375,673.5433349609375,1043.443603515625,663.8668212890625,965.2174072265625,808.5344848632812,1006.7149047851562,760.112548828125,1001.3716430664062,942.4883422851562,1004.060302734375,834.291748046875
3,1011.7581787109375,445.1759033203125,1005.015380859375,434.75640869140625,1012.2047729492188,436.9769592285156,973.3436889648438,440.3926696777344,1019.0441284179688,444.4086608886719,927.5814819335938,498.267333984375,1053.7535400390625,493.02850341796875,893.1280517578125,574.4312744140625,1096.0479736328125,558.9563598632812,940.3701171875,601.5736694335938,1059.80029296875,610.9552612304688,961.8212280273438,662.7398071289062,1039.52978515625,652.9359130859375,968.5095825195312,798.8486328125,1005.804931640625,748.2754516601562,993.0086669921875,932.1932983398438,1001.9020385742188,825.2513427734375
4,1011.7763671875,445.176513671875,1005.0299072265625,434.75799560546875,1012.2127075195312,436.9781494140625,973.3488159179688,440.4020080566406,1019.0341796875,444.4273986816406,927.5918579101562,498.2753601074219,1053.7733154296875,493.0937194824219,893.06494140625,574.4216918945312,1096.0234375,558.9987182617188,940.3203125,601.9558715820312,1059.7791748046875,610.9431762695312,961.8733520507812,662.7339477539062,1039.5947265625,652.9501342773438,968.4825439453125,798.9036254882812,1005.7816772460938,748.32568359375,993.0400390625,932.236328125,1001.912353515625,825.4539184570312
5,1016.6224975585938,433.5677185058594,1009.464111328125,423.11444091796875,1016.4219970703125,424.21075439453125,975.881591796875,430.02001953125,1022.9662475585938,433.05035400390625,930.31298828125,483.876953125,1052.8717041015625,481.138427734375,891.7213134765625,558.8307495117188,1089.3267822265625,549.3934326171875,934.806640625,577.6166381835938,1059.3492431640625,601.9135131835938,952.6663208007812,644.704345703125,1028.498046875,641.781005859375,972.729736328125,763.7723388671875,1014.8968505859375,751.3460083007812,987.933837890625,892.9199829101562,998.309326171875,864.3782958984375
6,1021.4640502929688,428.5830078125,1012.5709228515625,418.02789306640625,1022.061767578125,419.52313232421875,978.5094604492188,423.646484375,1026.342041015625,428.27008056640625,932.453125,475.8135986328125,1054.5491943359375,479.53656005859375,888.2267456054688,546.8989868164062,1082.9356689453125,551.726806640625,933.2735595703125,557.4422607421875,1050.987060546875,603.343017578125,950.151611328125,632.25,1025.519775390625,633.129638671875,974.0745239257812,743.6687622070312,1016.4151611328125,752.3433837890625,989.3054809570312,855.0980834960938,1001.912109375,867.8410034179688
7,1020.7951049804688,425.0671081542969,1013.737548828125,414.583984375,1020.8643798828125,414.6224365234375,979.419921875,421.361083984375,1029.0234375,424.9102783203125,934.3814697265625,468.41796875,1056.1851806640625,480.5856628417969,884.7369995117188,538.715576171875,1078.0557861328125,562.64892578125,926.7669677734375,584.2578735351562,1042.0545654296875,604.6898803710938,943.9561157226562,631.6727294921875,1021.09521484375,639.545166015625,966.0445556640625,737.07421875,1012.5350952148438,763.4989013671875,987.4002685546875,830.6904296875,996.23388671875,895.3884887695312
8,1018.447021484375,428.61065673828125,1011.4699096679688,417.86395263671875,1020.1361694335938,419.5307312011719,981.3353271484375,423.532470703125,1029.56201171875,429.8204345703125,937.0643310546875,470.8289794921875,1057.0777587890625,491.46051025390625,884.8953857421875,539.10546875,1074.44580078125,578.0503540039062,924.03955078125,599.2093505859375,1031.64013671875,616.6211547851562,946.8837890625,636.78369140625,1021.1396484375,645.5094604492188,971.4097290039062,751.9030151367188,1007.6444702148438,779.2950439453125,986.5661010742188,852.79345703125,984.0720825195312,909.1380615234375
9,1018.5100708007812,428.63873291015625,1011.5307006835938,417.90057373046875,1020.202392578125,419.57891845703125,981.36572265625,423.5634765625,1029.6011962890625,429.8697509765625,937.0628662109375,470.762939453125,1057.0745849609375,491.4440612792969,884.9267578125,539.0087280273438,1074.4727783203125,578.06494140625,924.0238647460938,599.1989135742188,1031.6031494140625,616.7523803710938,946.9072875976562,636.6400756835938,1021.156494140625,645.3580322265625,971.4324951171875,751.8745727539062,1007.7153930664062,779.1209106445312,986.5911254882812,853.1907958984375,984.1436767578125,909.065673828125
