frame,t,x,y,is_measurement
0,0.0,122.98246765136719,1146.0150146484375,2
1,0.03333333333333333,167.7167205810547,1148.867431640625,2
2,0.06666666666666667,205.17245483398438,1163.517578125,2
3,0.1,235.4115753173828,1163.748291015625,2
4,0.13333333333333333,267.9324035644531,1174.8779296875,2
5,0.16666666666666666,298.1932373046875,1175.4482421875,2
6,0.2,335.47113037109375,1173.607177734375,2
7,0.23333333333333334,380.6376647949219,1162.7481689453125,2
8,0.26666666666666666,399.9093017578125,1147.90771484375,2
9,0.3,446.54052734375,1143.297607421875,2
10,0.3333333333333333,480.7898864746094,1150.080078125,2
11,0.36666666666666664,526.3974609375,1154.66796875,2
12,0.4,595.8003540039062,1146.9559326171875,2
13,0.43333333333333335,645.2664184570312,1156.748779296875,2
14,0.4666666666666667,695.8925170898438,1165.2650146484375,2
15,0.5,746.2642211914062,1177.6302490234375,2
16,0.5333333333333333,811.6376342773438,1148.9364013671875,2
17,0.5666666666666667,856.5731201171875,1133.8529052734375,2
18,0.6,906.6778564453125,1130.076416015625,2
19,0.6333333333333333,918.2083740234375,1114.9951171875,2
20,0.6666666666666666,974.1388549804688,1103.9642333984375,2
21,0.7,1019.8906860351562,1090.5662841796875,2
22,0.7333333333333333,1054.97509765625,1088.7672119140625,2
23,0.7666666666666667,1093.7105712890625,1093.8758544921875,2
24,0.8,1130.3670654296875,1081.47314453125,2
25,0.8333333333333334,1161.2408447265625,1094.313720703125,2
26,0.8666666666666667,1212.9559326171875,1081.2879638671875,2
27,0.9,1235.5203857421875,1070.40380859375,2
28,0.9333333333333333,1251.3602294921875,1085.529296875,2
29,0.9666666666666667,1318.4378662109375,1064.5477294921875,2
30,1.0,1382.114013671875,1036.32275390625,2
31,1.0333333333333334,1420.99609375,1040.6580810546875,2
32,1.0666666666666667,1478.1190185546875,1039.196533203125,2
33,1.1,1516.106201171875,1068.79296875,2
34,1.1333333333333333,1574.801513671875,1107.7740478515625,2
35,1.1666666666666667,1626.533935546875,1150.0006103515625,2
36,1.2,1615.202880859375,1197.955078125,2
37,1.2333333333333334,1645.54541015625,1273.0093994140625,2
38,1.2666666666666666,1600.410400390625,1288.86669921875,2
39,1.3,1580.3138427734375,1278.0048828125,2
40,1.3333333333333333,1572.4815673828125,1228.20361328125,2
41,1.3666666666666667,1592.1234130859375,1152.543701171875,2
42,1.4,1647.2374267578125,1079.3568115234375,2
43,1.4333333333333333,1817.71875,1235.3887939453125,2
44,1.4666666666666666,1839.136474609375,1190.3555908203125,2
45,1.5,1857.076171875,359.5202331542969,1
46,1.5333333333333334,1857.076171875,359.5202331542969,0
47,1.5666666666666667,1857.076171875,359.5202331542969,0
48,1.6,1831.4447021484375,359.3204345703125,1
49,1.6333333333333333,148.40475463867188,161.70712280273438,1
50,1.6666666666666667,1809.18603515625,358.0461730957031,1
51,1.7,1808.5565185546875,359.76873779296875,1
52,1.7333333333333334,1522.589496554899,324.3418424287886,0
53,1.7666666666666666,1520.5403363405062,324.17088885077123,0
54,1.8,1785.41015625,357.8837585449219,1
55,1.8333333333333333,1651.1597165125982,340.93061589352715,0
56,1.8666666666666667,1653.293780311405,341.29069844904126,0
57,1.9,1762.918212890625,356.4957580566406,1
58,1.9333333333333333,1759.5084228515625,355.641357421875,1
59,1.9666666666666666,1739.6280611412462,353.2126914346504,0
60,2.0,1745.571044921875,354.4345703125,1
61,2.033333333333333,2047.659423828125,1064.643310546875,1
62,2.066666666666667,1736.3045654296875,354.1072692871094,1
63,2.1,1832.1313411065062,546.0194927280277,0
64,2.1333333333333333,1721.4393310546875,353.6426696777344,1
65,2.1666666666666665,1792.5684228239732,468.9905287227241,0
66,2.2,1711.1236572265625,354.0601501464844,1
67,2.2333333333333334,1760.9044594841257,418.884460583613,0
68,2.2666666666666666,1764.3823562517744,420.28237849064067,0
69,2.3,1698.375244140625,351.2474365234375,1
70,2.3333333333333335,1697.15185546875,352.7203674316406,1
71,2.3666666666666667,1695.265380859375,351.88690185546875,1
72,2.4,1690.120361328125,352.1619873046875,1
73,2.433333333333333,1689.37646484375,350.9692077636719,1
74,2.466666666666667,1687.0545654296875,351.7796630859375,1
75,2.5,1694.6034204747637,351.5552360806972,0
76,2.533333333333333,1676.4224853515625,351.05096435546875,1
77,2.566666666666667,1674.510498046875,349.93115234375,1
78,2.6,1673.43017578125,349.75201416015625,1
79,2.6333333333333333,1674.907470703125,348.75213623046875,1
80,2.6666666666666665,1673.860595703125,349.74066162109375,1
81,2.7,1674.146484375,347.33837890625,1
82,2.7333333333333334,1671.60888671875,347.6552734375,1
83,2.7666666666666666,1670.4525146484375,347.62005615234375,1
84,2.8,1669.8936767578125,348.66778564453125,1
85,2.8333333333333335,1668.5947265625,349.0334167480469,1
