frame,t,x,y,is_measurement
0,0.0,216.66249084472656,1313.4290771484375,2
1,0.03333333333333333,232.487060546875,1291.807861328125,2
2,0.06666666666666667,257.3553466796875,1251.8316650390625,2
3,0.1,296.202392578125,1242.7916259765625,2
4,0.13333333333333333,311.78375244140625,1226.1502685546875,2
5,0.16666666666666666,299.65765380859375,1242.551513671875,2
6,0.2,323.943115234375,1230.0435791015625,2
7,0.23333333333333334,347.0807800292969,1202.098876953125,2
8,0.26666666666666666,348.7571716308594,1161.5574951171875,2
9,0.3,356.06292724609375,1134.59130859375,2
10,0.3333333333333333,368.1341247558594,1093.7523193359375,2
11,0.36666666666666664,377.73858642578125,1075.139892578125,2
12,0.4,383.8454284667969,1053.5213623046875,2
13,0.43333333333333335,389.10894775390625,1040.586181640625,2
14,0.4666666666666667,391.3094482421875,1033.391357421875,2
15,0.5,395.23541259765625,1027.0115966796875,2
16,0.5333333333333333,399.82269287109375,1018.2044067382812,2
17,0.5666666666666667,408.3368835449219,1001.0745239257812,2
18,0.6,412.5191650390625,1001.106201171875,2
19,0.6333333333333333,422.311279296875,996.4025268554688,2
20,0.6666666666666666,431.83209228515625,995.2387084960938,2
21,0.7,440.1648864746094,990.0764770507812,2
22,0.7333333333333333,443.5984802246094,994.0760498046875,2
23,0.7666666666666667,454.76702880859375,1020.6163940429688,2
24,0.8,467.2584228515625,1048.093994140625,2
25,0.8333333333333334,466.77545166015625,1068.353515625,2
26,0.8666666666666667,473.4631652832031,1143.5904541015625,2
27,0.9,477.52459716796875,1176.57275390625,2
28,0.9333333333333333,474.2591857910156,1169.189453125,2
29,0.9666666666666667,466.4853210449219,1118.3143310546875,2
30,1.0,436.5841369628906,1065.5107421875,2
31,1.0333333333333334,455.6561279296875,968.726806640625,2
33,1.1,476.99267578125,937.4093627929688,1
34,1.1333333333333333,488.556884765625,950.6694946289062,1
35,1.1666666666666667,482.6962901672087,943.9494278161235,0
36,1.2,507.78759765625,973.9361572265625,1
37,1.2333333333333334,515.57763671875,986.377197265625,1
38,1.2666666666666666,521.7028198242188,996.852783203125,1
39,1.3,529.3306274414062,1006.2696533203125,1
40,1.3333333333333333,533.5553588867188,1017.9329223632812,1
41,1.3666666666666667,538.7703857421875,1026.88623046875,1
42,1.4,545.00048828125,1036.918212890625,1
43,1.4333333333333333,536.6793651531292,1022.3961624122023,0
44,1.4666666666666666,537.897974205089,1024.231533134362,0
45,1.5,539.1165832570488,1026.0669038565218,0
46,1.5333333333333334,561.38330078125,1053.6689453125,1
47,1.5666666666666667,553.5068957482248,1044.3703828569442,0
48,1.6,555.1470788619705,1046.7218360600682,0
49,1.6333333333333333,556.7872619757162,1049.0732892631922,0
50,1.6666666666666667,558.4274450894619,1051.4247424663163,0
51,1.7,560.0676282032076,1053.7761956694403,0
52,1.7333333333333334,561.7078113169533,1056.1276488725644,0
53,1.7666666666666666,563.347994430699,1058.4791020756884,0
54,1.8,564.9881775444447,1060.8305552788124,0
55,1.8333333333333333,566.6283606581904,1063.1820084819365,0
56,1.8666666666666667,567.4310302734375,1047.9912109375,1
57,1.9,565.5662841796875,957.3568725585938,1
58,1.9333333333333333,566.0634155273438,957.034423828125,1
59,1.9666666666666666,569.2582369780382,984.8364702404641,0
60,2.0,570.7619826969534,984.1624718068457,0
61,2.033333333333333,572.2657284158686,983.4884733732273,0
62,2.066666666666667,573.7694741347838,982.8144749396089,0
63,2.1,566.99853515625,954.6532592773438,1
64,2.1333333333333333,566.9733276367188,954.1724243164062,1
65,2.1666666666666665,566.9122314453125,953.9716796875,1
66,2.2,570.2861660734197,954.6824998402566,0
