frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,1826.798828125,466.6337585449219,1832.3621826171875,464.23583984375,1829.8070068359375,461.75347900390625,1844.107666015625,468.5750732421875,1840.939453125,463.90887451171875,1847.5614013671875,488.5693359375,1845.05322265625,490.36846923828125,1857.3675537109375,517.0352172851562,1851.70849609375,521.1281127929688,1831.3626708984375,523.8095092773438,1826.58056640625,517.3613891601562,1855.23828125,547.3167114257812,1848.687255859375,547.7381591796875,1864.1334228515625,581.5105590820312,1822.37646484375,587.5247192382812,1903.9810791015625,603.3104248046875,1822.8189697265625,616.953125
1,1794.5050048828125,475.47784423828125,1798.301513671875,472.25921630859375,1795.9825439453125,471.1978759765625,1809.1435546875,473.5347595214844,1806.149658203125,471.9700622558594,1822.515869140625,488.39312744140625,1814.087890625,492.861083984375,1842.0340576171875,517.9177856445312,1823.31982421875,525.2283935546875,1813.494140625,523.5005493164062,1798.426025390625,519.2852783203125,1834.4193115234375,546.36083984375,1826.6746826171875,547.8453369140625,1824.6588134765625,584.0111083984375,1802.5526123046875,590.2787475585938,1870.007568359375,597.9240112304688,1826.4342041015625,610.122802734375
2,1785.4659423828125,470.9524230957031,1788.6956787109375,467.8147888183594,1785.2421875,466.79681396484375,1795.392578125,470.8826599121094,1792.5609130859375,468.5713806152344,1803.246337890625,489.82867431640625,1798.974365234375,488.44927978515625,1814.21044921875,520.548095703125,1793.7657470703125,518.6066284179688,1800.77197265625,523.3275756835938,1770.23974609375,519.8448486328125,1814.0218505859375,542.8772583007812,1813.5484619140625,541.700927734375,1785.1800537109375,584.4708862304688,1799.82421875,584.399169921875,1817.65966796875,610.1433715820312,1835.5338134765625,609.6019897460938
3,1765.314697265625,467.23223876953125,1769.1534423828125,464.04632568359375,1764.2451171875,464.01995849609375,1778.1865234375,467.005615234375,1767.374267578125,467.6036682128906,1787.614013671875,488.03912353515625,1770.758056640625,488.09722900390625,1791.83837890625,519.335205078125,1759.170654296875,514.7145385742188,1775.6571044921875,515.6561279296875,1745.5634765625,503.1572570800781,1792.681640625,543.798828125,1783.156494140625,543.462646484375,1771.515869140625,587.3873901367188,1775.2308349609375,587.43701171875,1811.9571533203125,615.6453857421875,1818.5155029296875,615.2083129882812
4,1742.671630859375,465.8751220703125,1746.4599609375,462.7997131347656,1742.5701904296875,462.4366149902344,1756.97705078125,465.8511047363281,1747.51806640625,465.50213623046875,1772.8499755859375,483.3110046386719,1746.5220947265625,484.0448913574219,1792.1497802734375,505.2106628417969,1740.1907958984375,503.6900329589844,1779.4432373046875,516.9867553710938,1731.765625,508.56396484375,1775.9681396484375,535.8772583007812,1756.9307861328125,535.8984985351562,1770.76220703125,572.56494140625,1746.1512451171875,573.819580078125,1805.8157958984375,611.9566040039062,1772.247802734375,612.8218383789062
5,1721.017822265625,459.9801330566406,1724.9515380859375,456.8009033203125,1721.1708984375,456.625,1736.4884033203125,460.3374328613281,1725.0062255859375,460.7891540527344,1754.13134765625,479.1177673339844,1721.07177734375,481.49688720703125,1772.91748046875,501.2138977050781,1711.840087890625,501.1614074707031,1758.12353515625,516.2537841796875,1703.3800048828125,505.2170104980469,1754.828369140625,533.662353515625,1729.15380859375,534.1326293945312,1760.209716796875,569.1427001953125,1709.5042724609375,571.5660400390625,1797.03564453125,607.3570556640625,1723.928466796875,611.145751953125
6,1702.1668701171875,456.8304138183594,1706.1959228515625,453.67144775390625,1701.758544921875,453.4522399902344,1717.591796875,457.2555236816406,1704.1485595703125,457.51300048828125,1730.3209228515625,480.4180603027344,1705.3468017578125,480.07537841796875,1742.228271484375,506.4234924316406,1693.1383056640625,498.310302734375,1726.603759765625,518.2191772460938,1686.8070068359375,500.893310546875,1725.58447265625,533.6583251953125,1718.0037841796875,533.5254516601562,1687.5570068359375,569.7589721679688,1742.2862548828125,570.0353393554688,1680.679931640625,603.7908935546875,1791.364990234375,604.2188110351562
7,1681.52978515625,455.9293212890625,1685.60400390625,452.7046203613281,1681.27099609375,452.4212646484375,1697.267578125,455.6494445800781,1685.987060546875,455.2903137207031,1710.642578125,477.38226318359375,1684.9598388671875,475.8039245605469,1722.6876220703125,504.677001953125,1670.603271484375,495.3925476074219,1707.5430908203125,517.8967895507812,1662.6123046875,504.5747985839844,1701.6055908203125,529.9505615234375,1691.8399658203125,529.8846435546875,1669.3084716796875,569.7159423828125,1717.56884765625,570.2172241210938,1666.721435546875,593.774169921875,1764.0072021484375,594.38720703125
8,1660.8690185546875,457.21124267578125,1664.02197265625,454.4161376953125,1660.6378173828125,453.9437561035156,1673.2021484375,457.41357421875,1664.814453125,456.5154113769531,1686.6793212890625,479.4733581542969,1663.584228515625,476.1871032714844,1699.99169921875,506.600830078125,1651.8406982421875,494.9489440917969,1682.052978515625,518.8666381835938,1640.1004638671875,505.7322998046875,1676.5416259765625,535.4057006835938,1667.460693359375,534.128173828125,1650.0003662109375,574.4088134765625,1688.3009033203125,572.896240234375,1651.4259033203125,595.8086547851562,1730.2249755859375,592.80322265625
9,1637.7645263671875,458.5881652832031,1641.73681640625,455.730712890625,1638.366943359375,454.77728271484375,1652.4825439453125,460.0035705566406,1642.80224609375,458.6360778808594,1663.61279296875,481.21942138671875,1642.55810546875,480.4818115234375,1674.971435546875,508.3177490234375,1634.9996337890625,504.8313293457031,1647.961669921875,516.3958740234375,1623.8297119140625,509.024169921875,1657.85400390625,534.7393798828125,1647.4739990234375,533.2593994140625,1636.905029296875,575.790771484375,1653.491455078125,575.3873291015625,1640.808349609375,606.4708251953125,1678.433837890625,606.3729858398438
10,1619.111572265625,463.6366882324219,1622.0911865234375,460.7899169921875,1619.1357421875,460.1715087890625,1630.8575439453125,463.2039794921875,1625.4967041015625,461.95208740234375,1639.8028564453125,485.7530822753906,1626.396484375,481.6688232421875,1640.420166015625,517.4552612304688,1619.599365234375,506.88861083984375,1617.9390869140625,517.0794067382812,1606.6285400390625,503.6015625,1632.1510009765625,540.1942138671875,1624.019287109375,537.5068359375,1626.3377685546875,584.8885498046875,1619.97802734375,581.765869140625,1634.6539306640625,625.2166137695312,1630.9049072265625,619.8488159179688
11,1595.54052734375,463.4734191894531,1600.514404296875,460.6314697265625,1595.439453125,458.8902587890625,1611.1534423828125,465.8465881347656,1600.076416015625,461.87054443359375,1615.5040283203125,490.2645568847656,1601.5509033203125,484.4150390625,1609.28857421875,520.97265625,1597.289794921875,510.8428955078125,1586.86767578125,512.2691040039062,1584.788330078125,506.0163879394531,1617.033447265625,541.0062866210938,1607.3551025390625,538.0320434570312,1618.247802734375,585.71435546875,1611.8023681640625,581.8857421875,1637.097412109375,623.2411499023438,1628.27392578125,616.9943237304688
12,1577.848388671875,460.79974365234375,1582.69921875,458.7904357910156,1578.0859375,456.99652099609375,1591.474853515625,464.27838134765625,1583.2213134765625,459.8443298339844,1597.451171875,488.7100524902344,1578.79052734375,478.7684020996094,1580.0963134765625,516.847412109375,1567.2452392578125,499.93994140625,1562.169677734375,507.5682067871094,1558.3055419921875,499.88348388671875,1595.3153076171875,540.240966796875,1579.0684814453125,534.498779296875,1598.473876953125,577.6166381835938,1562.8963623046875,568.7571411132812,1634.619384765625,609.6925659179688,1581.0223388671875,595.062744140625
13,1557.2159423828125,456.9537048339844,1560.8013916015625,454.7474060058594,1557.404052734375,453.5445861816406,1567.132080078125,458.69683837890625,1562.086669921875,455.714599609375,1571.485595703125,481.612060546875,1557.59326171875,474.17218017578125,1555.4317626953125,509.03436279296875,1546.247802734375,494.4792785644531,1536.7412109375,499.88397216796875,1539.2880859375,489.8539733886719,1568.8785400390625,534.1065673828125,1553.5169677734375,530.1564331054688,1587.2418212890625,571.5628051757812,1530.9083251953125,565.2330322265625,1629.04736328125,608.6387329101562,1536.7403564453125,597.655029296875
14,1534.372802734375,454.9366455078125,1541.049072265625,453.5615539550781,1535.78857421875,450.4375,1550.1622314453125,460.2828674316406,1540.1151123046875,453.68133544921875,1543.7236328125,481.2000427246094,1535.0596923828125,474.41949462890625,1532.02392578125,508.42706298828125,1526.8353271484375,496.31182861328125,1517.5906982421875,497.8653259277344,1519.1390380859375,486.3614196777344,1544.815185546875,535.0813598632812,1532.2574462890625,532.311279296875,1565.9691162109375,571.0906982421875,1511.85498046875,569.2365112304688,1608.72216796875,601.04296875,1507.442138671875,599.8982543945312
15,1511.36181640625,453.046630859375,1517.69677734375,451.4429626464844,1514.663818359375,448.9265441894531,1526.779052734375,455.73736572265625,1523.80517578125,451.5009460449219,1523.1153564453125,476.2642822265625,1516.350830078125,477.04144287109375,1511.888671875,503.29736328125,1508.7391357421875,504.83807373046875,1488.4991455078125,503.2388000488281,1492.0657958984375,496.76104736328125,1522.23095703125,532.8151245117188,1510.7440185546875,532.769287109375,1543.1866455078125,569.229736328125,1481.83447265625,573.99169921875,1583.9783935546875,592.70361328125,1477.5445556640625,604.5718994140625
16,1491.70556640625,460.5379638671875,1497.8154296875,458.760986328125,1494.450439453125,455.9150695800781,1503.37109375,461.84637451171875,1500.2821044921875,457.02978515625,1496.21923828125,479.1260986328125,1491.147216796875,480.69561767578125,1492.0960693359375,506.3519287109375,1486.3260498046875,509.10089111328125,1471.4295654296875,503.87542724609375,1469.7899169921875,497.5227355957031,1497.7479248046875,534.87890625,1488.0775146484375,535.8865356445312,1515.2091064453125,572.61328125,1461.8707275390625,579.0738525390625,1559.6973876953125,591.3767700195312,1461.4833984375,606.025146484375
17,1464.7020263671875,467.3675537109375,1467.41015625,465.1109619140625,1466.7225341796875,463.5904235839844,1471.101806640625,467.94427490234375,1475.341064453125,464.7396240234375,1476.663818359375,484.25775146484375,1470.8619384765625,480.79913330078125,1473.14794921875,513.6257934570312,1464.9996337890625,506.2320251464844,1448.9984130859375,503.6562805175781,1445.4547119140625,492.398193359375,1473.5028076171875,541.705810546875,1469.4603271484375,539.6890258789062,1457.5965576171875,583.1896362304688,1458.615478515625,582.6168823242188,1494.966796875,599.705078125,1494.636474609375,599.4888305664062
18,1441.9591064453125,462.8342590332031,1446.033203125,460.76922607421875,1443.876953125,459.1072998046875,1453.494384765625,466.12109375,1452.9090576171875,462.98291015625,1458.059814453125,485.33233642578125,1451.418212890625,483.74078369140625,1456.606689453125,513.8994750976562,1443.5389404296875,511.19805908203125,1431.773681640625,506.6455078125,1421.677978515625,501.46343994140625,1452.79296875,540.9706420898438,1448.733642578125,539.500244140625,1430.5074462890625,582.6469116210938,1433.781494140625,583.3892822265625,1466.56591796875,602.6837768554688,1467.684814453125,605.3451538085938
19,1426.9923095703125,464.70062255859375,1430.646728515625,462.6323547363281,1427.886962890625,461.8353271484375,1435.75,468.0438232421875,1432.8082275390625,466.81414794921875,1438.6817626953125,485.98040771484375,1426.68212890625,483.3433532714844,1423.985107421875,512.7085571289062,1404.870361328125,505.73052978515625,1408.2532958984375,502.6834716796875,1395.56494140625,494.4887390136719,1434.921630859375,540.870849609375,1427.0235595703125,539.0054321289062,1404.4488525390625,583.735595703125,1406.522705078125,581.9354248046875,1448.482177734375,605.2744750976562,1448.966796875,601.6153564453125
