frame,t,x,y,is_measurement
0,0.0,,,0
1,0.03333333333333333,,,0
2,0.06666666666666667,,,0
3,0.1,,,0
4,0.13333333333333333,,,0
5,0.16666666666666666,,,0
6,0.2,,,0
7,0.23333333333333334,,,0
8,0.26666666666666666,,,0
9,0.3,,,0
10,0.3333333333333333,,,0
11,0.36666666666666664,,,0
12,0.4,,,0
13,0.43333333333333335,,,0
14,0.4666666666666667,,,0
15,0.5,1022.0348510742188,413.4718933105469,1
16,0.5333333333333333,1020.9545288085938,412.3492126464844,1
17,0.5666666666666667,1021.5020224454717,412.9181729830229,0
18,0.6,1021.4995782774499,412.9156329815205,0
19,0.6333333333333333,1021.4971341094282,412.9130929800181,0
20,0.6666666666666666,1021.4946899414065,412.91055297851574,0
21,0.7,1021.4922457733848,412.90801297701336,0
22,0.7333333333333333,1021.489801605363,412.905472975511,0
23,0.7666666666666667,1021.4873574373413,412.9029329740086,0
24,0.8,1021.4849132693196,412.9003929725062,0
25,0.8333333333333334,1021.4824691012979,412.89785297100383,0
26,0.8666666666666667,1021.4800249332761,412.89531296950145,0
27,0.9,1021.4775807652544,412.89277296799906,0
28,0.9333333333333333,1021.4751365972327,412.8902329664967,0
29,0.9666666666666667,1021.472692429211,412.8876929649943,0
30,1.0,1021.4702482611892,412.8851529634919,0
31,1.0333333333333334,1021.4678040931675,412.88261296198954,0
32,1.0666666666666667,1021.4653599251458,412.88007296048715,0
33,1.1,1021.462915757124,412.8775329589848,0
34,1.1333333333333333,1021.4604715891023,412.8749929574824,0
35,1.1666666666666667,1021.4580274210806,412.87245295598,0
36,1.2,1021.4555832530589,412.8699129544776,0
37,1.2333333333333334,1021.4531390850372,412.86737295297524,0
38,1.2666666666666666,1021.4506949170154,412.86483295147286,0
39,1.3,1021.4482507489937,412.8622929499705,0
40,1.3333333333333333,1005.8909912109375,415.97039794921875,1
41,1.3666666666666667,1019.1798706054688,386.19635009765625,1
42,1.4,1023.7755737304688,385.4425964355469,1
43,1.4333333333333333,1023.7847900390625,385.45123291015625,1
44,1.4666666666666666,1016.97509765625,393.5958251953125,1
45,1.5,1006.165771484375,396.59576416015625,1
46,1.5333333333333334,1003.119873046875,384.98931884765625,1
47,1.5666666666666667,1005.6835327148438,374.6058654785156,1
48,1.6,1005.654052734375,374.6315002441406,1
49,1.6333333333333333,1008.5590209960938,368.307861328125,1
50,1.6666666666666667,1004.3021850585938,376.2080383300781,1
51,1.7,1005.4319876777079,373.4479399783479,0
52,1.7333333333333334,1004.9390780295389,372.25251078651854,0
53,1.7666666666666666,1004.44616838137,371.0570815946892,0
54,1.8,1003.953258733201,369.8616524028598,0
55,1.8333333333333333,1075.2486572265625,644.4828491210938,1
56,1.8666666666666667,1100.6939697265625,591.87158203125,1
57,1.9,1075.1385262239246,573.4393787031031,0
58,1.9333333333333333,1077.6621670523825,580.7557367120622,0
59,1.9666666666666666,986.800048828125,367.0723876953125,1
60,2.0,947.8079223632812,289.179931640625,1
61,2.033333333333333,910.0892944335938,324.7801818847656,1
62,2.066666666666667,874.7539672851562,371.5067138671875,1
63,2.1,874.71484375,371.50140380859375,1
64,2.1333333333333333,845.8187255859375,416.609130859375,1
65,2.1666666666666665,874.617944473784,381.76439361817296,0
66,2.2,777.0369262695312,515.1776733398438,1
67,2.2333333333333334,751.414306640625,566.5780029296875,1
68,2.2666666666666666,751.3914184570312,566.508544921875,1
69,2.3,729.294189453125,616.8379516601562,1
70,2.3333333333333335,695.6793823242188,670.5977783203125,1
71,2.3666666666666667,670.2967529296875,702.4780883789062,1
72,2.4,655.35986328125,657.082763671875,1
73,2.433333333333333,655.3721923828125,657.0877075195312,1
74,2.466666666666667,638.7925415039062,617.3847045898438,1
75,2.5,624.0726928710938,574.4231567382812,1
76,2.533333333333333,609.8564453125,542.5306396484375,1
77,2.566666666666667,595.6632690429688,512.2019653320312,1
78,2.6,595.70556640625,512.204345703125,1
79,2.6333333333333333,581.3117065429688,486.20159912109375,1
80,2.6666666666666665,570.3055419921875,468.32330322265625,1
81,2.7,558.237060546875,451.245849609375,1
82,2.7333333333333334,546.1220703125,436.62872314453125,1
83,2.7666666666666666,546.1116943359375,436.5859680175781,1
84,2.8,534.6500244140625,427.4673156738281,1
85,2.8333333333333335,523.2277221679688,420.7673034667969,1
86,2.8666666666666667,511.750244140625,417.12066650390625,1
87,2.9,502.20697021484375,417.28302001953125,1
88,2.933333333333333,502.269287109375,417.30706787109375,1
89,2.966666666666667,491.2501220703125,421.20794677734375,1
90,3.0,482.4494934082031,428.98675537109375,1
91,3.033333333333333,472.7449951171875,435.5083923339844,1
92,3.066666666666667,462.8432922363281,448.4953308105469,1
93,3.1,462.79327392578125,448.43011474609375,1
94,3.1333333333333333,445.56243896484375,461.9913024902344,1
95,3.1666666666666665,433.12986769013486,443.2498599615585,0
96,3.2,422.4804121088401,442.1086882034025,0
97,3.2333333333333334,411.8309565275453,440.9675164452465,0
98,3.2666666666666666,401.18150094625054,439.82634468709045,0
99,3.3,390.53204536495576,438.68517292893443,0
