frame,t,x,y,is_measurement
0,0.0,,,0
1,0.03333333333333333,,,0
2,0.06666666666666667,,,0
3,0.1,,,0
4,0.13333333333333333,,,0
5,0.16666666666666666,,,0
6,0.2,,,0
7,0.23333333333333334,,,0
8,0.26666666666666666,,,0
9,0.3,,,0
10,0.3333333333333333,,,0
11,0.36666666666666664,,,0
12,0.4,363.6915283203125,567.3535766601562,1
13,0.43333333333333335,375.610595703125,538.9796142578125,1
14,0.4666666666666667,382.4285888671875,514.9793701171875,1
15,0.5,388.51483154296875,499.598876953125,1
16,0.5333333333333333,392.28680419921875,489.8542785644531,1
17,0.5666666666666667,392.12042236328125,483.28253173828125,1
18,0.6,391.048095703125,482.7535400390625,1
19,0.6333333333333333,390.0029296875,479.14404296875,1
20,0.6666666666666666,394.0458068847656,472.4572448730469,1
21,0.7,394.476806640625,456.8859558105469,1
22,0.7333333333333333,399.95819091796875,441.17877197265625,1
23,0.7666666666666667,410.9139404296875,426.19482421875,1
24,0.8,423.97674560546875,412.3404235839844,1
25,0.8333333333333334,433.1195068359375,404.84344482421875,1
26,0.8666666666666667,447.4239807128906,404.5959777832031,1
27,0.9,431.4943996446172,409.61468951220564,0
28,0.9333333333333333,475.08050537109375,471.438720703125,1
29,0.9666666666666667,480.1893310546875,536.5073852539062,1
30,1.0,497.95745849609375,619.1127319335938,1
31,1.0333333333333334,481.8149948454668,528.1447205318266,0
32,1.0666666666666667,510.03485107421875,792.9340209960938,1
33,1.1,499.9468483211378,652.1410699397564,0
34,1.1333333333333333,488.5930480957031,747.9824829101562,1
35,1.1666666666666667,500.225382119699,708.4181182299575,0
36,1.2,478.14990234375,509.3830261230469,1
37,1.2333333333333334,502.0262145996094,416.1204528808594,1
38,1.2666666666666666,525.3912963867188,417.0008544921875,1
39,1.3,544.6156005859375,432.9217529296875,1
40,1.3333333333333333,559.9026489257812,451.6002502441406,1
41,1.3666666666666667,573.8318481445312,470.81781005859375,1
42,1.4,589.4385986328125,490.1748962402344,1
43,1.4333333333333333,576.2625598292394,469.156013946184,0
44,1.4666666666666666,581.7506413095056,467.0652089755127,0
45,1.5,587.2387227897717,464.9744040048414,0
46,1.5333333333333334,637.5914916992188,570.5896606445312,1
47,1.5666666666666667,643.0118408203125,591.8826904296875,1
48,1.6,657.748779296875,614.5369873046875,1
49,1.6333333333333333,666.8515625,634.2069091796875,1
50,1.6666666666666667,674.0953369140625,654.4888916015625,1
51,1.7,679.7747192382812,676.7882080078125,1
52,1.7333333333333334,690.9464111328125,700.99365234375,1
53,1.7666666666666666,695.2047363992741,675.2035531815739,0
54,1.8,702.9503402219016,681.4305428497828,0
55,1.8333333333333333,710.695944044529,687.6575325179917,0
56,1.8666666666666667,717.05419921875,725.030029296875,1
57,1.9,721.137451171875,704.8271484375,1
58,1.9333333333333333,727.400146484375,686.1106567382812,1
59,1.9666666666666666,737.2331832411514,712.3470806831115,0
60,2.0,744.796106071955,718.5018870417921,0
61,2.033333333333333,752.3590289027586,724.6566934004727,0
62,2.066666666666667,759.9219517335622,730.8114997591533,0
63,2.1,745.0588989257812,617.5585327148438,1
64,2.1333333333333333,746.0347900390625,614.908203125,1
65,2.1666666666666665,748.4384765625,610.9852294921875,1
66,2.2,748.4501342773438,610.0927734375,1
67,2.2333333333333334,748.7415161132812,611.5496826171875,1
68,2.2666666666666666,763.9198746313068,620.9077741845621,0
69,2.3,746.1593627929688,614.490478515625,1
70,2.3333333333333335,744.4237060546875,617.7064208984375,1
71,2.3666666666666667,744.069580078125,625.042236328125,1
72,2.4,743.7691650390625,632.4644775390625,1
73,2.433333333333333,740.6984252929688,641.5584716796875,1
74,2.466666666666667,740.337158203125,654.299072265625,1
75,2.5,739.7503662109375,661.8615112304688,1
76,2.533333333333333,752.944697684214,651.2071095296195,0
77,2.566666666666667,756.6749128613276,653.0188173984383,0
78,2.6,724.7158203125,708.5804443359375,1
79,2.6333333333333333,724.3743286132812,714.5179443359375,1
80,2.6666666666666665,722.9263916015625,707.6558227539062,1
81,2.7,722.6832275390625,702.1058349609375,1
82,2.7333333333333334,724.7371826171875,690.5198974609375,1
83,2.7666666666666666,724.0391845703125,686.4292602539062,1
84,2.8,721.9403076171875,681.9969482421875,1
85,2.8333333333333335,721.955322265625,678.2618408203125,1
86,2.8666666666666667,720.8169555664062,677.751220703125,1
87,2.9,721.0296630859375,677.911865234375,1
88,2.933333333333333,720.421875,678.4710693359375,1
89,2.966666666666667,720.1737060546875,681.1472778320312,1
90,3.0,719.5069580078125,687.1242065429688,1
91,3.033333333333333,719.502197265625,689.9060668945312,1
92,3.066666666666667,718.6197509765625,702.4232177734375,1
93,3.1,718.8011474609375,708.9163818359375,1
94,3.1333333333333333,718.1126708984375,714.4749755859375,1
95,3.1666666666666665,716.5428466796875,727.5097045898438,1
96,3.2,720.2359458337612,718.7011806122041,0
97,3.2333333333333334,720.901718564126,721.3351577410582,0
98,3.2666666666666666,721.5674912944908,723.9691348699123,0
99,3.3,722.2332640248555,726.6031119987664,0
